TextRegion ID,TextLine ID,TextRegion Coords,TextEquiv Text
region_380733b6-a024-4fff-a843-a831c6dd3168,line_6c719c36-92c4-4eda-873d-566a44fc6664,"1591,1018 1685,1018 1685,1069 1591,1069",1
region_77507fdf-2201-4bc5-a40a-0d0a765ba142,b28c40d5-f1fe-44e9-89bb-2013082ccfcb,"1317,1494 1363,1499 1407,1456 1438,1454 1459,1460 1504,1456 1531,1479 1574,1479 1594,1460 1719,1456 1766,1494 1779,1495 1779,1546 1750,1546 1730,1556 1363,1556 1339,1575 1317,1575",Van V. 4. L. E. 1
region_77507fdf-2201-4bc5-a40a-0d0a765ba142,line_072ecc60-97a9-4db6-a0de-9d84b74913e9,"1341,1550 1364,1550 1375,1558 1574,1557 1598,1579 1679,1579 1679,1630 1364,1639 1348,1627 1341,1630",Hondricus.
region_77507fdf-2201-4bc5-a40a-0d0a765ba142,line_6bac1ad1-eb2e-4b6d-8286-701a812a3a47,"1350,1647 1365,1651 1384,1635 1575,1635 1587,1647 1656,1651 1656,1702 1583,1702 1555,1689 1497,1685 1350,1681",Johannes
region_77507fdf-2201-4bc5-a40a-0d0a765ba142,line_7eb3a243-3446-44b0-84fe-4f79d956bd27,"1346,1679 1420,1687 1565,1687 1584,1699 1653,1697 1653,1747 1376,1745 1346,1769",Corne L1s
region_3cd19956-8e1f-416e-ae32-8e934ff8bb76,b896e607-9b21-413e-bbdc-6861275d5e64,"1777,932 1784,925 1803,933 2453,937 2462,930 2462,982 1851,989 1791,1048 1777,1044",Vader Johannes Jacobus. ..
region_3cd19956-8e1f-416e-ae32-8e934ff8bb76,f363eaa1-ea4c-49f1-8748-fda9909e0caa,"1785,1052 1823,1018 1974,1018 1974,1069 1799,1069 1785,1061",
region_3cd19956-8e1f-416e-ae32-8e934ff8bb76,b45db866-5690-409e-98cf-2143f2965b61,"1777,1059 1786,1054 1819,1086 2482,1087 2481,1140 1819,1140 1777,1174","Moeder  Adr. Lamd.. , Bo. SmannS."
region_3cd19956-8e1f-416e-ae32-8e934ff8bb76,line_2014892f-bfff-40e4-b3cc-b64eeb2f5e33,"1805,1177 2108,1174 2108,1225 1805,1225",
region_9150e528-9294-4625-950d-3bef47069bcb,line_191f99e5-d335-44fb-a684-864bb271beeb,"1776,1366 1789,1367 1838,1326 2474,1335 2474,1386 2050,1386 2042,1394 2010,1394 2002,1402 1814,1402 1787,1378 1776,1378",Geboren te WoenseL. thans. .
region_9150e528-9294-4625-950d-3bef47069bcb,line_554754e3-3ece-486e-b0c8-5efe4d8f3d55,"1847,1400 2479,1395 2496,1402 2496,1454 2484,1466 1847,1464",. B
region_9150e528-9294-4625-950d-3bef47069bcb,line_558dcbc2-232f-4901-ab7c-fdc1fd1e77fc,"1775,1466 1809,1489 2419,1494 2419,1545 1805,1548 1786,1567 1775,1563",den L8. MAAxE.. . 2Od
region_9150e528-9294-4625-950d-3bef47069bcb,c9794497-3063-46ed-b4d8-893415b870ab,"1784,1569 2444,1581 2444,1632 1842,1634 1784,1689",Laatst gewoond te Moensel
region_9150e528-9294-4625-950d-3bef47069bcb,f603a8df-69f9-4f8f-b9cc-cd1799843c33,"1935,1641 2464,1648 2460,1704 1935,1704",gem. Eindhoven.
region_9150e528-9294-4625-950d-3bef47069bcb,aa352f4f-e000-43ee-9d6e-cac906fc1aca,"1782,1750 1800,1738 2449,1743 2449,1794 1800,1799 1782,1786",Bij zijn aankomst bij het korps . ...
region_9150e528-9294-4625-950d-3bef47069bcb,line_107e374d-5300-4718-8673-dde01bc29a10,"1782,1776 1824,1814 2309,1814 2309,1866 2212,1874 1808,1874 1782,1897",lang 1. 736. meter. . ...
region_9150e528-9294-4625-950d-3bef47069bcb,cde902cd-2ce9-4360-8076-3fabf960db20,"1784,1859 1830,1900 2296,1900 2296,1951 1842,1953 1784,2008",Merkbare teekenen ...
region_536607ad-7349-4afa-b614-1cc2861ca1d7,line_66c0984a-b655-4045-a3d8-ee4009ccfba3,"1792,2482 1814,2494 2488,2494 2488,2545 1792,2540",Vader Pe Frus Mar ELman.
a23cdfbf-f5fe-4c18-afcf-4a9488d87750,d3062258-9bc6-4217-84fe-5d1ef95bb54a,"1789,2655 2424,2653 2424,2704 1831,2706 1789,2738",Moeder .. . T. R. R. Re. t Ar. .
a23cdfbf-f5fe-4c18-afcf-4a9488d87750,line_087bc73f-3072-4a1e-b8ca-726680d5cc11,"1987,2720 2286,2720 2286,2771 2228,2769 2216,2781 2165,2781 2153,2793 1987,2793",TLMmans
region_7616a693-a817-4b07-89e3-3c7e21749634,ee5fd10b-dee6-4ff4-a439-e3d0dbda6b98,"1791,2939 1845,2893 2407,2900 2407,2951 1849,2949 1791,2999",Geboren te Rotterdam.
region_7616a693-a817-4b07-89e3-3c7e21749634,aa419fb0-4923-46a0-b1b8-f45e332b3b71,"2058,2946 2392,2945 2404,2956 2441,2965 2441,3017 2435,3023 2058,3031",
region_7616a693-a817-4b07-89e3-3c7e21749634,line_859565b1-9c64-4b7a-b7e3-5f9e48203f71,"1781,3031 1811,3050 2335,3050 2347,3059 2436,3057 2436,3108 1855,3111 1799,3165 1781,3161",den 3 April 1920.
region_7616a693-a817-4b07-89e3-3c7e21749634,line_36a2558b-bf0e-462e-a58f-4faaa5b22dae,"1791,3163 1798,3165 1825,3138 1877,3133 2218,3130 2215,3183 1977,3191 1969,3198 1809,3198 1791,3187",Laatst gewoond te
region_7616a693-a817-4b07-89e3-3c7e21749634,line_73673398-5e3d-4567-9d37-6cf3da4c6383,"1856,3198 2103,3197 2114,3189 2173,3189 2201,3198 2414,3197 2414,3248 2197,3248 2179,3264 1856,3272",Rotterdam.
region_7616a693-a817-4b07-89e3-3c7e21749634,a949318a-33eb-47ca-ab5e-4e843914c25d,"1787,3312 1809,3304 2446,3306 2446,3357 1837,3359 1787,3402",Bij zijn aankomst bij het korps.
region_7616a693-a817-4b07-89e3-3c7e21749634,line_4d360b1f-9bb1-4d7d-bb51-9e4245f5fee2,"1794,3348 1824,3376 2317,3379 2317,3430 1812,3437 1794,3425",lang 1. 767. meter.
region_7616a693-a817-4b07-89e3-3c7e21749634,d8ebc3d1-49d7-4a99-996a-08a15581a235,"1794,3482 1820,3460 2340,3459 2352,3471 2493,3469 2493,3520 2488,3514 2448,3522 2327,3513 2283,3557 2240,3557 2224,3569 2052,3568 2044,3560 1794,3569",nerkbare teekenen. GerInge. .
region_7616a693-a817-4b07-89e3-3c7e21749634,line_0f41804f-2f71-4f49-952b-bc29a6c43db3,"1789,3568 1807,3560 1903,3555 1927,3563 2051,3568 2226,3568 2234,3560 2314,3559 2330,3571 2376,3571 2410,3592 2459,3588 2507,3623 2507,3674 1967,3676 1959,3684 1823,3684 1795,3711 1789,3706",",,ontract an D"
f7e5fb09-3310-4738-9b3e-546a23687f38,e91185ec-e170-4ba5-9e43-7307eecd7de6,"2070,3711 2460,3711 2460,3762 2070,3762",.
region_50cdcecc-d807-406b-a69b-5cdf00d12aac,line_06276aa6-efc4-4314-8dae-5ece687da89e,"1815,4046 1837,4061 2358,4062 2358,4113 1917,4115 1857,4119 1822,4153 1815,4149",vader Hendricus.
region_50cdcecc-d807-406b-a69b-5cdf00d12aac,line_0d7ec4af-edee-4a0b-8879-28fe32db0943,"2368,4081 2398,4081 2417,4065 2465,4061 2513,4061 2529,4076 2529,4127 2368,4130",1
region_50cdcecc-d807-406b-a69b-5cdf00d12aac,line_5feab604-7c6a-422c-8ad1-c966fc69a796,"2100,4126 2377,4134 2400,4148 2481,4148 2481,4199 2100,4199",JORaMME.
region_50cdcecc-d807-406b-a69b-5cdf00d12aac,cd2a946b-2afc-4cb1-bfaf-c6ad91428fa1,"1824,4215 2225,4215 2261,4219 2269,4227 2317,4227 2329,4235 2466,4235 2466,4286 2078,4286 2026,4288 2019,4295 1824,4287",Moeder   . E. L A
region_50cdcecc-d807-406b-a69b-5cdf00d12aac,line_7fd65555-0eb7-407c-9d1b-6f7855b9d881,"1842,4281 2020,4281 2028,4289 2484,4289 2484,4340 2423,4340 2411,4352 1842,4352",T M AAG RDem
region_50cdcecc-d807-406b-a69b-5cdf00d12aac,line_3d6c2231-82e9-4dd5-92ad-551283109ccb,"2336,4352 2444,4354 2444,4405 2336,4402",",,."
region_50cdcecc-d807-406b-a69b-5cdf00d12aac,d10ce55e-f1bb-4515-9983-ea00c878837f,"2118,4396 2172,4396 2180,4388 2317,4392 2317,4443 2118,4443",
region_50cdcecc-d807-406b-a69b-5cdf00d12aac,ebd393f1-e559-4953-a887-0b018b43b956,"1806,4458 2467,4461 2475,4468 2508,4468 2508,4519 1836,4516 1816,4536 1806,4531",Geboren te Emmerzch (M2a1.
region_50cdcecc-d807-406b-a69b-5cdf00d12aac,a5d72a5b-4ae1-4f72-8feb-0d971232bcdb,"1868,4531 2342,4535 2354,4547 2386,4547 2394,4554 2479,4554 2479,4605 1868,4605",#S. ModerLander.
region_50cdcecc-d807-406b-a69b-5cdf00d12aac,d5cb32bf-b06c-4dc9-9db1-72e0f8385ce3,"1810,4638 1836,4619 2464,4623 2464,4674 1828,4675 1810,4668",den 21 Januari 1923. .
region_50cdcecc-d807-406b-a69b-5cdf00d12aac,line_2df77e72-0f88-46db-8539-71a3c722214e,"1812,4722 1842,4695 2252,4695 2251,4748 1874,4759 1812,4817",Laatst gewoond te
region_50cdcecc-d807-406b-a69b-5cdf00d12aac,line_8dd5197d-e88d-4b4c-b5cc-1175f07222a0,"2077,4763 2506,4764 2506,4815 2473,4813 2465,4821 2077,4816",Arnnem (a24)
region_50cdcecc-d807-406b-a69b-5cdf00d12aac,line_3706a76a-044e-4069-aaa3-8fd7e7133c31,"1812,4874 1826,4866 2444,4872 2444,4923 1812,4929",Bij zijn aankomst bij het korps
region_50cdcecc-d807-406b-a69b-5cdf00d12aac,c0ab86f8-822d-4cda-a6f2-908bb3b65048,"1803,4958 1837,4929 2009,4937 2025,4944 2353,4944 2353,4995 2329,4998 1821,4998 1803,5006",lang 1. 68. meter.
region_50cdcecc-d807-406b-a69b-5cdf00d12aac,ae095c0f-0bae-4b9f-9f37-2bae6fec8298,"1799,5028 1823,5042 1853,5016 2330,5016 2330,5068 2324,5074 1799,5077",Merkbare teekenen..
region_50cdcecc-d807-406b-a69b-5cdf00d12aac,line_7ef634c4-b681-429c-a71e-f342eba0bca9,"2001,5104 2264,5104 2264,5155 2001,5156",1
region_7e5ec09a-bf1c-4332-b50c-b914c51295c6,line_3cd1fb8b-281c-4e47-be67-65c86e2a282a,"1884,5190 1976,5190 1976,5241 1960,5234 1884,5239",
region_1894b535-f347-4cb2-8d35-85d0d1348ab1,line_032c9bb3-25de-4149-a473-987658daf019,"1360,4569 1370,4563 1418,4607 1602,4607 1629,4580 1680,4579 1728,4622 1753,4622 1753,4673 1617,4678 1601,4694 1394,4689 1360,4674",DAALMIETSER.
region_1894b535-f347-4cb2-8d35-85d0d1348ab1,e7f5c35b-c63d-4461-b487-48a61d61dc35,"1375,4685 1397,4674 1600,4670 1619,4689 1684,4693 1684,4744 1413,4750 1390,4773 1375,4766",Johannes
region_1894b535-f347-4cb2-8d35-85d0d1348ab1,line_25959556-091f-4ef1-b22c-802c56c9a3a0,"1452,4749 1602,4749 1633,4752 1645,4761 1706,4761 1706,4812 1700,4805 1452,4809",20 Erus
region_8be29a26-3f4a-488e-b3fa-dbd1a385f9bf,bbde0ad4-0b55-4f91-90e4-be3b2bb66f68,"1068,580 1078,587 1149,592 1339,588 1344,646 1068,645",Algemeen
region_8be29a26-3f4a-488e-b3fa-dbd1a385f9bf,line_3fc66f09-22ae-4142-b6d8-ac4d3d5878e4,"1065,623 1071,621 1103,653 1277,653 1289,665 1333,665 1342,655 1342,706 1065,703",Stamboek-
region_8be29a26-3f4a-488e-b3fa-dbd1a385f9bf,cc06433a-4451-4b9d-9519-cc970d70b537,"1082,721 1329,721 1329,772 1082,772",nummer
region_8be29a26-3f4a-488e-b3fa-dbd1a385f9bf,line_4ca5bec1-1063-40cf-9966-81aad031a621,"1092,776 1194,776 1327,788 1327,839 1092,839",in Indie.
b8f18847-6027-4a26-b015-f2724bec5fc2,line_38b62a07-979f-4e66-b129-2396e7f8cc82,"866,2835 960,2835 1004,2875 1080,2875 1092,2883 1144,2832 1212,2831 1256,2875 1363,2871 1377,2880 1377,2932 1364,2921 1348,2934 1292,2942 1140,2942 1086,2993 866,2993",kgm. 18 1603090
region_236f7dcb-266e-4ed9-a5f9-adcfc7280c61,line_06748f0e-a2af-4c89-b8e6-8fb69fdefc59,"1088,4062 1097,4058 1137,4097 1260,4104 1260,4155 1088,4151",pock
fd3d1dbb-8b71-4810-81e0-7d394aa8bda7,c0f1e6b3-753e-4b3a-a6ea-0df014d711d2,"858,4519 867,4511 1098,4511 1174,4585 1302,4587 1386,4623 1386,4676 1369,4693 1154,4693 1095,4749 884,4749 872,4737 858,4749",351218 91566
region_00802b69-547c-4eb8-8865-98d70c296043,line_4b24c269-594d-46e4-a64a-ba6d6f245654,"733,4091 826,4095 846,4112 877,4095 1085,4100 1085,4151 865,4150 843,4166 733,4165",tefhritt S.Cm
region_00802b69-547c-4eb8-8865-98d70c296043,bc4ce065-5550-4f39-9ed5-abeb0e362c3c,"840,4166 867,4150 886,4162 1097,4162 1112,4175 1137,4175 1137,4226 1120,4227 1096,4250 886,4254 863,4242 852,4253 840,4253",snaar laais
region_0db6f379-ff74-47f2-913e-3fa82c297079,efb750e9-340c-41b1-813a-3b7dcdb4e429,"838,3086 861,3076 892,3048 928,3048 936,3056 1187,3060 1219,3088 1258,3088 1277,3104 1324,3099 1358,3131 1367,3127 1367,3180 1350,3194 1127,3190 1091,3214 1027,3214 1003,3238 960,3242 908,3241 864,3197 838,3197",351211/2 91565
a7e21689-7174-4e2e-be3d-a78418b028ca,line_6cdbf781-a419-45b6-a5a2-41db6e330bfe,"1377,2962 1582,2962 1626,3006 1656,3006 1678,3023 1697,3016 1726,3018 1734,3026 1754,3023 1787,3056 1787,3108 1778,3108 1755,3130 1594,3130 1582,3142 1540,3130 1377,3130",X E M W. E. R.
a7e21689-7174-4e2e-be3d-a78418b028ca,acdf6b89-db93-424c-b286-4881eed87dd2,"1357,3097 1379,3109 1582,3108 1606,3130 1691,3130 1691,3182 1642,3182 1582,3242 1415,3242 1372,3202 1357,3198",Bastlaan.
region_9d016144-ef94-433b-bed2-91a4cc58d993,dd29b67c-0ae8-4556-a951-6dfee01cfeb4,"819,2481 1089,2481 1132,2524 1287,2524 1307,2542 1352,2537 1352,2587 1104,2587 1089,2602 889,2602 853,2635 819,2631",Alschrik Fomboek
region_9d016144-ef94-433b-bed2-91a4cc58d993,bb94e749-260a-46e3-8852-d5ac24c141eb,"932,2604 1254,2604 1254,2655 1113,2653 1082,2680 932,2680",naar / L. die
region_2c994f88-8c32-499d-95db-643eaa5eb0e7,cec15ee3-0cab-4f4d-a588-d0913c476812,"1589,226 1694,226 1727,195 1737,194 1751,206 1778,206 1867,285 1928,287 1928,339 1739,350 1705,336 1682,359 1589,355",Notar
region_2c994f88-8c32-499d-95db-643eaa5eb0e7,line_4ba0a0f0-0813-4883-95d9-52d43bd90fc1,"1556,356 1670,356 1695,336 1778,345 1906,332 2042,332 2062,352 2122,352 2154,378 2187,378 2187,429 2134,429 2114,447 2090,451 1970,459 1556,459",StOOASCHIf
region_3f95ae55-36d5-4d7d-a6cf-fcda3569ae22,ab53118b-c7d2-4812-836a-5f19a644c707,"1508,683 2371,683 2383,694 2428,694 2428,745 1897,745 1885,755 1813,759 1508,759",NAMEN EN VOORNAMEN.
region_7c043de1-2332-4e2e-ba42-504b566f3d68,aa939a03-c9ac-4a04-a262-9497a7403bba,"2237,317 2348,317 2359,326 2527,313 2543,329 2759,338 2803,333 2819,346 3035,349 3051,365 3076,364 3072,420 2943,420 2921,427 2904,444 2791,452 2237,452",Andr afvera.
cb9bb1d1-6ab3-446f-828b-0756bf6928f5,line_5eac5573-4a40-4c7b-a99b-ecd95a56e33d,"2782,916 3111,915 3131,931 3171,932 3506,923 3522,935 3566,939 3934,936 3934,988 3921,990 2999,990 2988,1001 2956,1001 2936,989 2896,1029 2856,993 2782,993",1335 verbonden voor  den overzeeschen.
cb9bb1d1-6ab3-446f-828b-0756bf6928f5,f85641a5-1d8d-4134-960b-236ee6d3343f,"2489,919 2575,922 2584,931 2610,935 2777,930 2776,982 2641,982 2578,1045 2542,1044 2535,1037 2489,1041",D0 Cx
cb9bb1d1-6ab3-446f-828b-0756bf6928f5,ff944612-b790-403a-a5d2-0086fb38e81f,"2925,981 2944,981 2963,1000 2986,1001 3924,1008 3927,1063 2995,1065 2987,1073 2963,1073 2944,1057 2925,1061",mi21 talren dionst zoone1 in a2s.
cb9bb1d1-6ab3-446f-828b-0756bf6928f5,line_085ee6ff-ad5a-4f9b-b4b6-c3a78ed7c02a,"2924,1062 2942,1057 2958,1072 2987,1073 2994,1080 3708,1080 3716,1088 3904,1090 3903,1143 3002,1143 2987,1158 2924,1167",Vurten hrope   d dain
cb9bb1d1-6ab3-446f-828b-0756bf6928f5,line_5c754750-af2b-4550-9e2b-eeab9664eafe,"2928,1181 2953,1184 2983,1154 3851,1171 3850,1224 3098,1228 2994,1227 2982,1219 2958,1220 2943,1235 2928,1235",Ingaande met aen aas van So
cb9bb1d1-6ab3-446f-828b-0756bf6928f5,line_501b3394-6fcd-482e-814e-d8b69559d36b,"2927,1237 2946,1236 2961,1221 2988,1220 3009,1240 3821,1244 3829,1252 3913,1252 3925,1261 3945,1246 3958,1246 3958,1297 3929,1294 3885,1305 2997,1309 2986,1301 2965,1301 2941,1325 2927,1324",Schiktbevinding voor uitzending:
cb9bb1d1-6ab3-446f-828b-0756bf6928f5,line_8da3a511-9dfd-4205-ac8f-6ee0fdaf6038,"2931,1301 2985,1300 3017,1332 3689,1334 3689,1385 3009,1388 2941,1442 2931,1442",toegelaten a4s. SoL daar..
cb9bb1d1-6ab3-446f-828b-0756bf6928f5,line_859f78d2-5bb0-41b8-a71f-37ac104dad40,"2937,1378 2988,1379 3023,1414 3880,1414 3929,1420 3929,1473 2999,1473 2988,1465 2937,1465",IS. Ingeschreven. Voor den. Aiens E-
cb9bb1d1-6ab3-446f-828b-0756bf6928f5,a8afb9e6-c576-40de-af19-233b96d4b089,"2935,1495 3924,1492 3920,1548 3021,1544 2989,1575 2977,1575 2945,1606 2935,1606",VcnEnEangWan. NoE
cb9bb1d1-6ab3-446f-828b-0756bf6928f5,b70987ec-db83-40cf-88fb-d4b8632c9a9e,"2938,1604 2949,1603 2980,1572 2996,1568 3610,1568 3849,1584 3938,1581 3938,1633 3927,1644 3000,1644 2989,1652 2960,1652 2938,1667","JART. 232D. VOO E. AR, 8OmM. ELnanoven"
cb9bb1d1-6ab3-446f-828b-0756bf6928f5,line_41657c93-9f5d-4602-bca0-2dbf706e02e1,"2933,1668 2943,1668 2975,1637 2995,1644 3932,1644 3949,1652 3949,1703 3920,1711 2933,1706","TM. B .Ad . MD. ,,ADL""LOngeSchikt"
cb9bb1d1-6ab3-446f-828b-0756bf6928f5,line_1684ef0b-acc4-4742-9ea8-0aa0a92b3bba,"2923,1729 2941,1729 2965,1706 3370,1709 3377,1716 3734,1722 3734,1773 3079,1774 3066,1787 3021,1787 2988,1815 2923,1806",voor den dienstgzichtl. -
cb9bb1d1-6ab3-446f-828b-0756bf6928f5,line_71c74061-c040-427d-86e1-1bafc6df3605,"2506,1784 2944,1783 2995,1798 3538,1798 3598,1806 3858,1806 3887,1812 3887,1864 3878,1869 2951,1869 2896,1915 2887,1915 2851,1880 2628,1880 2576,1927 2506,1919",11 Maaxt. 1036. Geschikt voor uitzending: premie f
cb9bb1d1-6ab3-446f-828b-0756bf6928f5,line_1dca1cb3-a90c-4ed6-adfa-6133cc14e611,"2924,1869 2947,1866 2958,1877 2993,1882 3153,1882 3153,1933 3040,1935 3017,1946 2986,1977 2966,1977 2943,1954 2924,1954",400:-
ab32db48-b5f3-4adc-bd28-5498f97ee851,line_5607fa87-883c-436f-bbc9-3256cdf5283e,"2487,1964 2497,1972 2577,1973 2605,1946 2839,1946 2860,1933 2943,1933 2951,1939 2975,1935 3012,1964 3834,1964 3850,1975 3907,1975 3906,2028 2980,2027 2941,2062 2605,2066 2577,2090 2545,2090 2533,2078 2487,2078",1 April 1336 de embarkeerd te Rotterdam a fB0.
ab32db48-b5f3-4adc-bd28-5498f97ee851,line_8762f5ab-87ca-41a8-95f0-2b79c5df13be,"2913,2062 2943,2063 2979,2027 2988,2027 3015,2054 3886,2054 3929,2063 3946,2054 4047,2057 4047,2108 3998,2108 3926,2169 3902,2168 3870,2137 3838,2137 3807,2107 3762,2111 3728,2142 3698,2130 3678,2110 3514,2110 3467,2153 3453,2141 3439,2141 3415,2118 3303,2118 3295,2110 2995,2110 2979,2104 2963,2107 2944,2126 2913,2126","VAM. ME. E O. LOTSSNT P "" AndaPODFa fker."
ab32db48-b5f3-4adc-bd28-5498f97ee851,line_6d3e7e4d-73f5-483b-ab88-8233b94c4467,"2477,2142 2486,2143 2524,2106 2564,2107 2579,2094 2646,2094 2665,2106 2742,2103 2755,2114 2898,2110 2914,2126 2943,2126 2962,2107 2978,2103 2998,2111 3294,2110 3302,2118 3414,2118 3430,2134 3462,2128 3473,2139 3510,2110 3676,2110 3716,2150 3761,2111 3806,2107 3837,2138 3914,2145 3914,2196 3577,2191 3529,2238 3362,2238 3346,2229 3238,2229 3226,2217 3138,2217 3126,2206 3074,2207 3034,2237 3018,2233 2982,2202 2942,2241 2922,2241 2899,2218 2882,2218 2850,2249 2647,2249 2577,2184 2559,2187 2532,2214 2477,2218",31: December: 193:7: Wegens lichamelijke angeschiktheid
ab32db48-b5f3-4adc-bd28-5498f97ee851,b0b5c2b3-45e6-44f6-97e2-c4ec2deb58d0,"2939,2255 2965,2235 2997,2227 3045,2235 3077,2207 3225,2215 3237,2227 3309,2227 3369,2239 3552,2239 3588,2207 3876,2207 3888,2219 3917,2220 3917,2271 3892,2272 3880,2284 3580,2284 3544,2319 3497,2295 2965,2291 2939,2272",voor de aarden enbarting van Alle Wil
ab32db48-b5f3-4adc-bd28-5498f97ee851,db1cda44-622e-4a5c-9922-5e390ad6b323,"2937,2281 2959,2296 2988,2296 2999,2288 3494,2292 3534,2317 3546,2317 3578,2288 3851,2293 3847,2349 3307,2353 3299,2361 3059,2361 3047,2352 2991,2352 2959,2353 2937,2369","tairen dienst, zoo wek in. al 2. kentien e"
ab32db48-b5f3-4adc-bd28-5498f97ee851,line_16dd486f-0f32-4195-bb33-eb51589536fd,"2971,2362 2990,2366 3005,2354 3053,2354 3069,2369 3521,2369 3529,2377 3673,2382 3882,2380 3882,2431 3401,2431 3379,2448 2971,2448","bumpa ,, niet ontstaan. v. E. d=m"
edea9760-8129-4c53-9fc2-b0c5eec80da6,line_8491015c-e918-4a20-a484-127470c22e10,"2487,2477 2534,2477 2549,2491 2586,2492 2600,2485 2626,2492 2728,2489 2741,2476 2825,2473 3902,2469 3930,2472 3950,2492 3950,2544 3937,2536 3845,2548 2985,2552 2949,2587 2921,2587 2905,2602 2773,2598 2706,2605 2629,2605 2585,2563 2536,2563 2487,2606",3 voor. 1335. Verbonden voor den overzeeschen.
edea9760-8129-4c53-9fc2-b0c5eec80da6,line_22a8b1b5-a074-4b14-b5ae-2015be8438db,"2900,2541 2951,2538 2974,2560 3942,2563 3942,2613 3901,2611 3893,2619 3006,2619 2948,2670 2934,2669 2900,2642",niTitalren dienst zoowel in a4s.
edea9760-8129-4c53-9fc2-b0c5eec80da6,line_53f60572-61ac-49a4-a41c-d3a84b418a83,"2602,2579 2787,2579 2787,2630 2602,2630",1
edea9760-8129-4c53-9fc2-b0c5eec80da6,line_8716eab8-9cbf-4aeb-abf1-933cdbb33a12,"2810,2550 2906,2558 2930,2578 2930,2629 2898,2627 2866,2659 2810,2659",2
edea9760-8129-4c53-9fc2-b0c5eec80da6,f81c5058-82a3-4d8d-b8f5-cb35f0a39705,"2933,2632 3891,2647 3890,2700 3019,2700 2996,2723 2963,2720 2952,2731 2933,2731",VutEen p 3E Janen
edea9760-8129-4c53-9fc2-b0c5eec80da6,line_34149cbd-65d2-4685-9e1e-3fc0ad2739a7,"2940,2732 2951,2732 2982,2701 2995,2701 3014,2718 3859,2718 3859,2769 3763,2771 3751,2783 3150,2787 3002,2786 2988,2778 2954,2811 2940,2810",Ingaande met den dag van ge-
edea9760-8129-4c53-9fc2-b0c5eec80da6,f487b339-961a-479b-bf00-d68d6832becc,"2941,2811 2954,2812 2995,2778 3023,2806 3836,2806 3844,2814 3925,2814 3933,2822 3957,2813 3957,2865 3935,2873 3003,2873 2996,2880 2967,2881 2952,2896 2941,2896",schiktbevinding voor uitzending:
edea9760-8129-4c53-9fc2-b0c5eec80da6,line_02a03519-c670-4590-9b72-fc28bb681c61,"2951,2882 3516,2886 3624,2890 3636,2901 3853,2901 3853,2952 3013,2952 2994,2936 2951,2939",toegezaten a4S. S0L daar.
edea9760-8129-4c53-9fc2-b0c5eec80da6,e1fce6d3-acda-460b-85a0-6e4ab143515e,"2945,2937 2986,2970 3892,2968 3904,2980 3939,2984 3957,2970 3957,3021 3941,3030 2945,3023",IS IngeSchreven Voor den Aienst-
